,answer,question,label
44,کلاس‌های آنلاین در بعضی موارد باعث یادگیری بهتر موضوعات درس می‌شد و  در برخی موارد تاثیر چندانی نداشت,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
45,,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
46,در این درس منابع بسیار کمی در اختیار دانشجویان قرار گرفت,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
47,به نظرم کمترین کمکی به یادگیری نداشتند/,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
48,منابع آموزش - که ویدیو های ضبط شده حود استاد بودند - به شدت نا مفهموم و ضعیف هستند,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
49,,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
50,تا حد خوبی کافی بود,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
51,در این درس کلاسی برای آموزش تشکیل نشد,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
52, منابع آموزشی این درس شامل فیلم کلاس‌های ضبط شده و جزوه استاد بود,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
53, در کل، به نظرم این منابع کافی نبودند و من برای یادگیری درس مجبور بودم به رفرنس درس مراجعه کنم و تمرین های زیادی را حل کنم تا درس را یاد بگیرم,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
54, ,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
55,کلاس ها از قبل ضبط شده بود و مواد درسی برای حل تکالیف هم مفید نبود,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
56, درواقع نسبت به اینکه هر مبحث درسی ۲ ساعت کلاس ضبط شده داشت و حدود ۲۰ صفحه لکچر نوت و ۳ تا سمپل، مفید نبود,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
57,بسیار کم,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
58,تا حد خیلی خوبی مفید بودند,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
59, اینکه خود استاد زحمت تدریس را میکشیدند نتیجه مثبتی در یادگیری داشت,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
60,,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
61,بسیار عالی,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
62, کم,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
63,به نظرم کلاس ها تاثیر مثبت زیادی نداشت,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
64, مخصوصا تعداد زیاد جلسات درس و تکرار مکرر خیلی مسائل، باعث دلسردی در بین دانشجویان میشد,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
65,بسیار کم,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
66,بسیار عالی بودند,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
67, هم کلاس ها و هم منابع جانبی,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
68,,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
69,,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
70,بسیار عالی، متنوع و مفید بودند,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
71,به اندازه بود و یادگیری لازم حاصل میشد,کلاس ها و منابع آموزشی درس تا چه حد در راستای یادگیری های شما کافی و مفید بوده است؟,0
72,خوب,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
73, پرکاربرد و آموزنده,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
74,,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
75,خوب بود,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
76,حجم درس بسیار زیاد و در واقع بسیار بیشتر از تعداد واحد هایی که در چارت ذکر شده زمان می برد,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
77,"
کیفیت تکالیف خوب بود ",حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
78, بدلیل حجم زیاد انجام کامل آن ها در بسیاری از موارد میسر نبود,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
79,,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
80,حجمشون خوب بود,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
81,مناسب,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
82,فعالیت ها به صورت گروهی بود و در حد یه کار جدی گه این باعث شد فهم بهتری داشته باشیم,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
83,تکالیفش کم بودو قابل انجام دادن بود,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
84, ,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
85,حجم تکالیف بسیار زیاد است,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
86,,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
87,به نظر من تکالیف و کوییز ها بیش از حد زیاد هستند,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
88,,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
89,بسیار زیادبود,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
90,بابت لغو امتحان پایانی استاد چهار فاز پروژه طراحی کرد که هر کدام از فاز ها حداقل ۳ روز زمان میگرفت,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
91,,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
92,,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
93,به علاوه کوییز ها و حدود ۴۰ تکلیفی که آپلود شد,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
94,بسیار زیاد,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
95,بسیار ضعیف,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
96,حجم تکالیف سنگین بود و فکر میکنم اگر تکالیف سبک تر باشند، سطح درک من نسبت به مطالب بیشتر میشود و لذت یادگیری باعث میشود خودم هم بیشتر دنبال آن مطلب بروم و تسلط بیشتر باعث قدرت فکر بیشتر راجع به مسائل میشود,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
97,حجم و کیفیت تکالیف مناسب بود و به یادگیری کمک می کرد فقط بعضی قسمت های تکالیف مفهوم نوشته نشده بود,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
98,این درس ۳ واحدی هست ,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
99, به اندازه درس ۹ واحدی وقت میگرفت و ما موظف بودیم هفته ای ۲۰ ساعت را صرف این درس کنیم,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
100,,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
101,خیلی زیاد ,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
102, درس نیازمند همچین تکالیفی هست,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
103, بهتره که همون اول به دانشجوها گفته بشه که درس شاید سه واحد باشه ,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
104, تقریبا اندازه‌ی 8 واحد روش حساب کنن,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
105,در طی صحبت با یکی از دوستانم که در خارج از موسسه مشغول به تحصیل است، متوجه شدم سطح تکالیف ما در حد پروژه های پایانی آنهاست,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
106, البته که مقایسه همیشه درست نیست، منتها نحوه تدریس و حجم مطالبی که باید در هفته مورد مطالعه قرار میگرفتند آمادگی لازم را برای حل این تکالیف به وجود نمی‌آوردند,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
107,"
متن تکالیف گاها حتی بازبینی هم نمیشود و درک اینکه دقیقا باید چطور و چگونه تکلیف را انجام داد مبهم است",حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
108,"
",حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
109, بسیار زیاد و وقت گیر، پیچیده و سخت در حالی که در سطح بسیار پایین تری در کلاس توسط استاد آموزش داده میشود,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
110,,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
111,خیلی زیادتر از حدی که موسسه تعیین کرده,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
112,,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
113,حجم تکالیف خوب بود ,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
114, نسبت تکالیف با سطح یادگیری ما جالب نبود,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
115, ,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
116,به طور کلی این درس سه واحد است، ,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
117, زمانی که در طول هفته برای آن باید گذاشته شود بیشتر از 9 ساعت می‌باشد,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
118, اغلب تکالیف، تکالیف سنگینی بودند که فقط انجام دادن آن بیش از 9 ساعت زمان لازم داشت,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
119,,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
120,در ابتدای ترم تکلیفی بسیار حجیم ونامتناسب با یادگیری ها برایمان در گرفته شد ,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
121, کم کم بهتر شدند,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
122,بستگی دارد از چه زاویه ای به قضیه نگاه کنیم,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
123,"
من به عنوان فردی وارد این درس شدم که هیچ دانشی در زمینه یادگیری ماشین نداشتم و با توجه به اینکه پروژه پایانیم در این زمینه بود، بسیاربسیار بسیار بیشتر از چیزی که نیاز بود از من زمان گرفت",حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
124,,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
125,حجم تکالیف به اعتقاد من کاملا معقول بود,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
126, ,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
127,حجم و کیفیت تکالیف با مطالب ارائه شده متناسب بود,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
128,از نظر حجم، معقول بود,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
129, ,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
130, از نظر کیفیت، به نظرم بسیار بهتر بود اگر سطح سوالات پایین تر می‌آمد ,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
131, تعدادشان بیشتر میشد,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
132, بدین ترتیب، با همان حجم زمانی که برای هر تکلیف می‌گذاریم، یادگیری بیشتری خواهیم داشت,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
133,,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
134,حجم تکالیف و فعالیت ها کم بود,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
135,بسیار زیاد,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
136,متوسط رو به بالا,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
137, حجم تکالیف به نظرم مناسب بود ,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
138, سوالات کمی سخت بودند,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
139, ,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
140, اینکه تمامی مباحث هر فصل را پوشش میدادند بسیار عالی بود,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
141,,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
142,مناسب,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
143,متوسط,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
144,از لحاظ حجم تکالیف خیلی سنگین نبود و به نظرم استاندارد بود,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
145, ,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
146,زیاد,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
147,کاملا منطقی,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
148,بسیار خوب,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
149, تکالیف حجم مناسبی داشتند و مدرس نیز در تمامی مراحل آماده پاسخگویی به سوالات ما بود,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
150,,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
151,عالی,حجم و کیفیت تکالیف و فعالیت های درس را چطور ارزیابی می کنید؟,0
152,خیر، پیگیری بسیار با تاخیر همراه بود ,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
153,,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
154,بله,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
155,عالی,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
156,سرعت و کیفیت پاسخ های تیم آموزشی به سوالات و نیاز های دانشجویان بسیار خوب بود ,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
157," برای تکالیف و فعالیت ها 
فیدبکی داده نشد",آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
158,زیاد خوب نبود و تکالیف نمره ای نگرفتیم,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
159,تقریبا مناسب,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
160,بله ,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
161,سوالی از تیم آموزشی نپرسیدم ,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
162,فیدبکی مناسبی وجود ندارد ,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
163, پاسخگویی و راهنمایی استاد مورد قبول است,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
164,,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
165,بسیار عالی,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
166, راه ارتباطی هم از طریق سایت و هم واتس اپ وجود داشت و سرعت پاسخگویی هم بالا بود,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
167,,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
168,بله,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
169,نه خیلی,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
170, در مواردی سریع جواب میدادند ,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
171, مواردی هم بود که تا اخر ترم پاسخ داده نشد,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
172,بسیار ضعیف,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
173,بله,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
174,بله سرعت مناسب بوده و اوکی بوده و فیدبک ها گفته می شده,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
175,راستش سوالات مطرح شده در فروم ها به ندرت پاسخ داده میشد و حتی بعضی از انها بی پاسخ ماندند,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
176, ,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
177, با دسترسی به استادیاران از روش های دیگر کمی از سختی درس کاهش میافت,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
178,,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
179,نه واقعا,آیا سرعت و کیفیت پاسخگویی تیم آموزشی به سؤالات و نیازهای دانشجویان و همین طور ارائه فیدبک به تکالیف و فعالیت ها مناسب بوده است؟,0
